taxonid,taxoncode,taxonname,author,ecolgroup,highertaxonid,status,taxagroupid,publicationid,uncertaintytype,certainty_level_conservative,certainty_level_permissive,taxonname_updated,taxonname_updated_original,MDD_species,MDD_species_id,MDD_normalized_original_combination,MDD_validity,sciName,subclass,infraclass,magnorder,superorder,order,suborder,parvorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet
13736,?Alc.sp,?Alces sp.,"Gray, 1821",ARTI,14677,extant,MAM,1516,?,family,genus,Alces,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,NA,Cervoidea,Cervidae,Capreolinae,Alceini,NA,Alces,NA,NA
6759,Alc,Alces,"Gray, 1821",ARTI,13484,extant,MAM,1516,NA,NA,NA,Alces,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,NA,Cervoidea,Cervidae,Capreolinae,Alceini,NA,Alces,NA,NA
5827,Alc.sp,Alces sp.,"Gray, 1821",ARTI,6759,extant,MAM,1516,NA,NA,NA,Alces,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,NA,Cervoidea,Cervidae,Capreolinae,Alceini,NA,Alces,NA,NA
7098,cf.Alc.sp,cf. Alces sp.,"Gray, 1821",ARTI,14677,extant,MAM,1516,cf,family,genus,Alces,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,NA,Cervoidea,Cervidae,Capreolinae,Alceini,NA,Alces,NA,NA
7055,?Alc.al,?Alces alces,"(Linnaeus, 1758)",ARTI,6171,extant,MAM,1516,?,family,species,Alces alces,,Alces alces,1006285,Alces alces,synonym,Alces_alces,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,NA,Cervoidea,Cervidae,Capreolinae,Alceini,NA,Alces,NA,alces
5826,Alc.al,Alces alces,"(Linnaeus, 1758)",ARTI,6759,extant,MAM,1516,NA,NA,NA,Alces alces,,Alces alces,1006285,Alces alces,synonym,Alces_alces,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,NA,Cervoidea,Cervidae,Capreolinae,Alceini,NA,Alces,NA,alces
7097,cf.Alc.al,cf. Alces alces,"(Linnaeus, 1758)",ARTI,14677,extant,MAM,1516,cf,genus,species,Alces alces,,Alces alces,1006285,Alces alces,synonym,Alces_alces,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,NA,Cervoidea,Cervidae,Capreolinae,Alceini,NA,Alces,NA,alces
7031,Alc.am,Alces americanus,"Clinton, 1822",ARTI,6759,extant,MAM,1516,NA,NA,NA,Alces americanus,,Alces alces,1006285,Alces americanus,synonym,Alces_alces,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,NA,Cervoidea,Cervidae,Capreolinae,Alceini,NA,Alces,NA,alces
13838,?Atl.sp,?Antilocapra sp.,"Ord, 1818",ARTI,5842,extant,MAM,1516,?,family,genus,Antilocapra,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,NA,incertae sedis,Antilocapridae,Antilocaprinae,NA,NA,Antilocapra,NA,NA
6762,Atl,Antilocapra,"Ord, 1818",ARTI,5842,extant,MAM,1516,NA,NA,NA,Antilocapra,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,NA,incertae sedis,Antilocapridae,Antilocaprinae,NA,NA,Antilocapra,NA,NA
5841,Atl.sp,Antilocapra sp.,"Ord, 1818",ARTI,6762,extant,MAM,1516,NA,NA,NA,Antilocapra,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,NA,incertae sedis,Antilocapridae,Antilocaprinae,NA,NA,Antilocapra,NA,NA
13837,Atldae.?Atl.sp,Antilocapridae ?Antilocapra sp.,"Ord, 1818",ARTI,5842,extant,MAM,1516,?,family,genus,Antilocapra,Antilocapridae ?Antilocapra,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,NA,incertae sedis,Antilocapridae,Antilocaprinae,NA,NA,Antilocapra,NA,NA
7103,cf.Atl.sp,cf. Antilocapra sp.,"Ord, 1818",ARTI,14677,extinct,MAM,1538,cf,family,genus,Antilocapra,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,NA,incertae sedis,Antilocapridae,Antilocaprinae,NA,NA,Antilocapra,NA,NA
5840,Atl.am,Antilocapra americana,"(Ord, 1815)",ARTI,6762,extant,MAM,1516,NA,NA,NA,Antilocapra americana,,Antilocapra americana,1006129,Antilocapra americana,synonym,Antilocapra_americana,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,NA,incertae sedis,Antilocapridae,Antilocaprinae,NA,NA,Antilocapra,NA,americana
7671,Atl.cf.am,Antilocapra cf. A. americana,"(Ord, 1815)",ARTI,6762,extant,MAM,1516,cf,genus,species,Antilocapra americana,,Antilocapra americana,1006129,Antilocapra americana,synonym,Antilocapra_americana,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,NA,incertae sedis,Antilocapridae,Antilocaprinae,NA,NA,Antilocapra,NA,americana
7102,cf.Atl.am,cf. Antilocapra americana,"(Ord, 1815)",ARTI,14677,extant,MAM,1518,cf,genus,species,Antilocapra americana,,Antilocapra americana,1006129,Antilocapra americana,synonym,Antilocapra_americana,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,NA,incertae sedis,Antilocapridae,Antilocaprinae,NA,NA,Antilocapra,NA,americana
5842,Atldae,Antilocapridae,"Owen, 1841",ARTI,5825,extant,MAM,1516,NA,NA,NA,Antilocapridae,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,NA,incertae sedis,Antilocapridae,NA,NA,NA,NA,NA,NA
13836,Atldae.sp,Antilocapridae sp.,"Owen, 1841",ARTI,5842,extant,MAM,1516,NA,NA,NA,Antilocapridae,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,NA,incertae sedis,Antilocapridae,NA,NA,NA,NA,NA,NA
14179,?Artyla,?Artiodactyla,"Owen, 1848",ARTI,6171,extant,MAM,1516,?,class,order,Artiodactyla,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36452,Alc/Ovb,Alces/Ovibos,"Gray, 1821|Blainville, 1816",ARTI,5825,extant,MAM,1533,/,order,order,Artiodactyla,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5825,Artyla,Artiodactyla,"Owen, 1848",ARTI,42039,extant,MAM,1516,NA,NA,NA,Artiodactyla,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35161,Artyla(lg),Artiodactyla (large),"Owen, 1848",ARTI,5825,extant,MAM,1516,NA,NA,NA,Artiodactyla,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35162,Artyla(sm),Artiodactyla (small),"Owen, 1848",ARTI,5825,extant,MAM,1516,NA,NA,NA,Artiodactyla,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14677,Artyla.inc.sed,Artiodactyla incertae sedis,"Owen, 1848",ARTI,5825,extant,MAM,1516,NA,NA,NA,Artiodactyla,Artiodactyla incertae sedis,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7439,Crvdae/Bovdae,Cervidae/Bovidae,"Goldfuss, 1820|Gray, 1821",ARTI,5825,extant,MAM,1516,/,order,order,Artiodactyla,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13913,Odc/Atl,Odocoileus/Antilocapra,"Rafinesque, 1832|Ord, 1818",ARTI,5825,extant,MAM,1516,/,order,order,Artiodactyla,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24142,Odc/Atl.am,Odocoileus/Antilocapra americana,"Rafinesque, 1832/(Ord, 1815)",ARTI,5825,extant,MAM,1516,/,order,order,Artiodactyla,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7455,Ovs/Crv,Ovis/Cervus,"Linnaeus, 1758|Linnaeus, 1758",ARTI,5825,extant,MAM,1516,/,order,order,Artiodactyla,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20771,cf.Artyla,cf. Artiodactyla,"Owen, 1848",MAMM,6171,extant,MAM,1533,cf,class,order,Artiodactyla,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6771,Bal,Balaena,"Linnaeus, 1758",CETA,6772,extant,MAM,1523,NA,NA,NA,Balaena,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Cetacea,NA,Balaenoidea,Balaenidae,NA,NA,NA,Balaena,NA,NA
5859,Bal.my,Balaena mysticetus,"Linnaeus, 1758",CETA,6771,extant,MAM,1523,NA,NA,NA,Balaena mysticetus,,Balaena mysticetus,1006393,Balaena mysticetus,species,Balaena_mysticetus,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Cetacea,NA,Balaenoidea,Balaenidae,NA,NA,NA,Balaena,NA,mysticetus
13746,cf.Bal.my,cf. Balaena mysticetus,"Linnaeus, 1758",CETA,14195,extant,MAM,1523,cf,genus,species,Balaena mysticetus,,Balaena mysticetus,1006393,Balaena mysticetus,species,Balaena_mysticetus,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Cetacea,NA,Balaenoidea,Balaenidae,NA,NA,NA,Balaena,NA,mysticetus
6772,Baldae,Balaenidae,"Gray, 1821",CETA,14195,extant,MAM,1523,NA,NA,NA,Balaenidae,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Cetacea,NA,Balaenoidea,Balaenidae,NA,NA,NA,NA,NA,NA
19664,Baa,Balaenoptera,"Lacépède, 1804",CETA,19663,extant,MAM,1523,NA,NA,NA,Balaenoptera,,NA,NA,NA,NA,NA,Theria,Placentalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Cetacea,NA,Balaenopteroidea,Balaenopteridae,NA,NA,NA,Balaenoptera,NA,NA
