siteid,sitename,datasetid,collunitid,lat,long,elev,ageolder,ageyounger,chronologyname,variablename,taxonname_updated,MDD_species,order,family,genus,specificEpithet
244,Bechan Cave,5746,5601,37.36667,-110.86667,1352,13512,11700,Syverson-Blois: bounds,Neotoma sp.,Neotoma,NA,Rodentia,Cricetidae,Neotoma,NA
295,Boney Spring,7381,7236,38.11194,-93.36694,252,33700,500,Syverson-Blois: bounds,Geomys bursarius,Geomys bursarius,Geomys bursarius,Rodentia,Geomyidae,Geomys,bursarius
295,Boney Spring,7381,7236,38.11194,-93.36694,252,33700,500,Syverson-Blois: bounds,Glaucomys volans,Glaucomys volans,Glaucomys volans,Rodentia,Sciuridae,Glaucomys,volans
295,Boney Spring,7381,7236,38.11194,-93.36694,252,33700,500,Syverson-Blois: bounds,Marmota monax,Marmota monax,Marmota monax,Rodentia,Sciuridae,Marmota,monax
295,Boney Spring,7381,7236,38.11194,-93.36694,252,33700,500,Syverson-Blois: bounds,Microtus pennsylvanicus,Microtus pennsylvanicus,Microtus pennsylvanicus,Rodentia,Cricetidae,Microtus,pennsylvanicus
295,Boney Spring,7381,7236,38.11194,-93.36694,252,33700,500,Syverson-Blois: bounds,Napaeozapus insignis,Napaeozapus insignis,Napaeozapus insignis,Rodentia,Zapodidae,Napaeozapus,insignis
295,Boney Spring,7381,7236,38.11194,-93.36694,252,33700,500,Syverson-Blois: bounds,cf. Sciurus niger,Sciurus niger,Sciurus niger,Rodentia,Sciuridae,Sciurus,niger
295,Boney Spring,7381,7236,38.11194,-93.36694,252,33700,500,Syverson-Blois: bounds,Cryptotis parva,Cryptotis parva,Cryptotis parvus,Eulipotyphla,Soricidae,Cryptotis,parvus
295,Boney Spring,7381,7236,38.11194,-93.36694,252,33700,500,Syverson-Blois: bounds,Neotoma floridana,Neotoma floridana,Neotoma floridana,Rodentia,Cricetidae,Neotoma,floridana
295,Boney Spring,7381,7236,38.11194,-93.36694,252,33700,500,Syverson-Blois: bounds,Scalopus aquaticus,Scalopus aquaticus,Scalopus aquaticus,Eulipotyphla,Talpidae,Scalopus,aquaticus
295,Boney Spring,7381,7236,38.11194,-93.36694,252,33700,500,Syverson-Blois: bounds,Synaptomys cooperi,Synaptomys cooperi,Synaptomys cooperi,Rodentia,Cricetidae,Synaptomys,cooperi
295,Boney Spring,7381,7236,38.11194,-93.36694,252,33700,500,Syverson-Blois: bounds,Tamias striatus,Tamias striatus,Tamias striatus,Rodentia,Sciuridae,Tamias,striatus
295,Boney Spring,7381,7236,38.11194,-93.36694,252,33700,500,Syverson-Blois: bounds,Blarina brevicauda,Blarina brevicauda,Blarina brevicauda,Eulipotyphla,Soricidae,Blarina,brevicauda
295,Boney Spring,7381,7236,38.11194,-93.36694,252,33700,500,Syverson-Blois: bounds,Microtus ochrogaster/M. pinetorum,Microtus,NA,Rodentia,Cricetidae,Microtus,NA
