samples =  3 ; cumul. samples =  3
samples =  1 ; cumul. samples =  4
samples =  1 ; cumul. samples =  5
samples =  1 ; cumul. samples =  6
samples =  46 ; cumul. samples =  52
samples =  8 ; cumul. samples =  60
samples =  10 ; cumul. samples =  70
samples =  12 ; cumul. samples =  82
samples =  14 ; cumul. samples =  96
samples =  10 ; cumul. samples =  106
samples =  7 ; cumul. samples =  113
samples =  9 ; cumul. samples =  122
samples =  11 ; cumul. samples =  133
samples =  14 ; cumul. samples =  147
samples =  14 ; cumul. samples =  161
samples =  16 ; cumul. samples =  177
samples =  18 ; cumul. samples =  195
samples =  19 ; cumul. samples =  214
samples =  20 ; cumul. samples =  234
samples =  22 ; cumul. samples =  256
samples =  22 ; cumul. samples =  278
samples =  24 ; cumul. samples =  302
samples =  26 ; cumul. samples =  328
samples =  1 ; cumul. samples =  329
samples =  6 ; cumul. samples =  335
samples =  9 ; cumul. samples =  344
samples =  9 ; cumul. samples =  353
samples =  10 ; cumul. samples =  363
samples =  10 ; cumul. samples =  373
samples =  14 ; cumul. samples =  387
samples =  15 ; cumul. samples =  402
samples =  18 ; cumul. samples =  420
samples =  22 ; cumul. samples =  442
samples =  8 ; cumul. samples =  450
samples =  20 ; cumul. samples =  470
samples =  32 ; cumul. samples =  502
samples =  23 ; cumul. samples =  525
samples =  41 ; cumul. samples =  566
samples =  1 ; cumul. samples =  567
samples =  8 ; cumul. samples =  575
samples =  7 ; cumul. samples =  582
samples =  3 ; cumul. samples =  585
samples =  1 ; cumul. samples =  586
samples =  1 ; cumul. samples =  587
samples =  3 ; cumul. samples =  590
samples =  25 ; cumul. samples =  615
samples =  15 ; cumul. samples =  630
samples =  28 ; cumul. samples =  658
samples =  17 ; cumul. samples =  675
samples =  30 ; cumul. samples =  705
samples =  90 ; cumul. samples =  795
samples =  5 ; cumul. samples =  800
samples =  17 ; cumul. samples =  817
samples =  22 ; cumul. samples =  839
samples =  12 ; cumul. samples =  851
samples =  28 ; cumul. samples =  879
samples =  16 ; cumul. samples =  895
samples =  7 ; cumul. samples =  902
samples =  12 ; cumul. samples =  914
samples =  8 ; cumul. samples =  922
samples =  3 ; cumul. samples =  925
samples =  2 ; cumul. samples =  927
samples =  8 ; cumul. samples =  935
samples =  1 ; cumul. samples =  936
samples =  6 ; cumul. samples =  942
samples =  20 ; cumul. samples =  962
samples =  1 ; cumul. samples =  963
samples =  15 ; cumul. samples =  978
samples =  18 ; cumul. samples =  996
samples =  3 ; cumul. samples =  999
samples =  14 ; cumul. samples =  1013
samples =  29 ; cumul. samples =  1042
samples =  7 ; cumul. samples =  1049
samples =  12 ; cumul. samples =  1061
samples =  8 ; cumul. samples =  1069
samples =  3 ; cumul. samples =  1072
samples =  2 ; cumul. samples =  1074
samples =  8 ; cumul. samples =  1082
samples =  1 ; cumul. samples =  1083
samples =  6 ; cumul. samples =  1089
samples =  20 ; cumul. samples =  1109
samples =  1 ; cumul. samples =  1110
samples =  15 ; cumul. samples =  1125
samples =  18 ; cumul. samples =  1143
samples =  3 ; cumul. samples =  1146
samples =  14 ; cumul. samples =  1160
samples =  29 ; cumul. samples =  1189
samples =  7 ; cumul. samples =  1196
samples =  12 ; cumul. samples =  1208
samples =  8 ; cumul. samples =  1216
samples =  3 ; cumul. samples =  1219
samples =  2 ; cumul. samples =  1221
samples =  8 ; cumul. samples =  1229
samples =  1 ; cumul. samples =  1230
samples =  6 ; cumul. samples =  1236
samples =  20 ; cumul. samples =  1256
samples =  1 ; cumul. samples =  1257
samples =  15 ; cumul. samples =  1272
samples =  18 ; cumul. samples =  1290
samples =  3 ; cumul. samples =  1293
samples =  14 ; cumul. samples =  1307
samples =  29 ; cumul. samples =  1336
samples =  1 ; cumul. samples =  1337
samples =  1 ; cumul. samples =  1338
samples =  9 ; cumul. samples =  1347
samples =  16 ; cumul. samples =  1363
samples =  32 ; cumul. samples =  1395
samples =  27 ; cumul. samples =  1422
samples =  18 ; cumul. samples =  1440
samples =  21 ; cumul. samples =  1461
samples =  19 ; cumul. samples =  1480
samples =  35 ; cumul. samples =  1515
samples =  33 ; cumul. samples =  1548
samples =  15 ; cumul. samples =  1563
samples =  6 ; cumul. samples =  1569
samples =  4 ; cumul. samples =  1573
samples =  2 ; cumul. samples =  1575
samples =  1 ; cumul. samples =  1576
samples =  8 ; cumul. samples =  1584
samples =  1 ; cumul. samples =  1585
samples =  5 ; cumul. samples =  1590
samples =  2 ; cumul. samples =  1592
samples =  10 ; cumul. samples =  1602
samples =  7 ; cumul. samples =  1609
samples =  9 ; cumul. samples =  1618
samples =  5 ; cumul. samples =  1623
samples =  9 ; cumul. samples =  1632
samples =  9 ; cumul. samples =  1641
samples =  44 ; cumul. samples =  1685
samples =  43 ; cumul. samples =  1728
samples =  59 ; cumul. samples =  1787
samples =  13 ; cumul. samples =  1800
samples =  19 ; cumul. samples =  1819
samples =  5 ; cumul. samples =  1824
samples =  17 ; cumul. samples =  1841
samples =  32 ; cumul. samples =  1873
samples =  17 ; cumul. samples =  1890
samples =  23 ; cumul. samples =  1913
samples =  16 ; cumul. samples =  1929
samples =  17 ; cumul. samples =  1946
samples =  29 ; cumul. samples =  1975
samples =  46 ; cumul. samples =  2021
samples =  4 ; cumul. samples =  2025
samples =  3 ; cumul. samples =  2028
samples =  44 ; cumul. samples =  2072
samples =  19 ; cumul. samples =  2091
samples =  15 ; cumul. samples =  2106
samples =  16 ; cumul. samples =  2122
samples =  62 ; cumul. samples =  2184
samples =  60 ; cumul. samples =  2244
samples =  1 ; cumul. samples =  2245
samples =  20 ; cumul. samples =  2265
samples =  40 ; cumul. samples =  2305
samples =  42 ; cumul. samples =  2347
samples =  37 ; cumul. samples =  2384
samples =  32 ; cumul. samples =  2416
samples =  19 ; cumul. samples =  2435
samples =  30 ; cumul. samples =  2465
samples =  50 ; cumul. samples =  2515
samples =  2 ; cumul. samples =  2517
samples =  48 ; cumul. samples =  2565
samples =  80 ; cumul. samples =  2645
samples =  110 ; cumul. samples =  2755
samples =  15 ; cumul. samples =  2770
samples =  23 ; cumul. samples =  2793
samples =  18 ; cumul. samples =  2811
samples =  15 ; cumul. samples =  2826
samples =  48 ; cumul. samples =  2874
samples =  28 ; cumul. samples =  2902
samples =  25 ; cumul. samples =  2927
samples =  13 ; cumul. samples =  2940
samples =  15 ; cumul. samples =  2955
samples =  12 ; cumul. samples =  2967
samples =  17 ; cumul. samples =  2984
samples =  15 ; cumul. samples =  2999
samples =  15 ; cumul. samples =  3014
samples =  11 ; cumul. samples =  3025
samples =  18 ; cumul. samples =  3043
samples =  10 ; cumul. samples =  3053
samples =  13 ; cumul. samples =  3066
samples =  17 ; cumul. samples =  3083
samples =  17 ; cumul. samples =  3100
samples =  17 ; cumul. samples =  3117
samples =  18 ; cumul. samples =  3135
samples =  3 ; cumul. samples =  3138
samples =  4 ; cumul. samples =  3142
samples =  6 ; cumul. samples =  3148
samples =  7 ; cumul. samples =  3155
samples =  9 ; cumul. samples =  3164
samples =  16 ; cumul. samples =  3180
samples =  8 ; cumul. samples =  3188
samples =  2 ; cumul. samples =  3190
samples =  3 ; cumul. samples =  3193
samples =  23 ; cumul. samples =  3216
samples =  27 ; cumul. samples =  3243
samples =  12 ; cumul. samples =  3255
samples =  13 ; cumul. samples =  3268
samples =  12 ; cumul. samples =  3280
samples =  12 ; cumul. samples =  3292
samples =  1 ; cumul. samples =  3293
samples =  1 ; cumul. samples =  3294
samples =  1 ; cumul. samples =  3295
samples =  1 ; cumul. samples =  3296
samples =  1 ; cumul. samples =  3297
samples =  1 ; cumul. samples =  3298
samples =  1 ; cumul. samples =  3299
samples =  1 ; cumul. samples =  3300
samples =  1 ; cumul. samples =  3301
samples =  1 ; cumul. samples =  3302
samples =  1 ; cumul. samples =  3303
samples =  2 ; cumul. samples =  3305
samples =  31 ; cumul. samples =  3336
samples =  28 ; cumul. samples =  3364
samples =  15 ; cumul. samples =  3379
samples =  12 ; cumul. samples =  3391
samples =  14 ; cumul. samples =  3405
samples =  26 ; cumul. samples =  3431
samples =  54 ; cumul. samples =  3485
samples =  1 ; cumul. samples =  3486
samples =  40 ; cumul. samples =  3526
samples =  21 ; cumul. samples =  3547
samples =  18 ; cumul. samples =  3565
samples =  9 ; cumul. samples =  3574
samples =  36 ; cumul. samples =  3610
samples =  1 ; cumul. samples =  3611
samples =  3 ; cumul. samples =  3614
samples =  3 ; cumul. samples =  3617
samples =  24 ; cumul. samples =  3641
samples =  34 ; cumul. samples =  3675
samples =  36 ; cumul. samples =  3711
samples =  36 ; cumul. samples =  3747
samples =  54 ; cumul. samples =  3801
samples =  38 ; cumul. samples =  3839
samples =  67 ; cumul. samples =  3906
samples =  56 ; cumul. samples =  3962
samples =  54 ; cumul. samples =  4016
samples =  60 ; cumul. samples =  4076
samples =  56 ; cumul. samples =  4132
samples =  49 ; cumul. samples =  4181
samples =  53 ; cumul. samples =  4234
samples =  62 ; cumul. samples =  4296
samples =  23 ; cumul. samples =  4319
samples =  25 ; cumul. samples =  4344
samples =  7 ; cumul. samples =  4351
samples =  18 ; cumul. samples =  4369
samples =  15 ; cumul. samples =  4384
samples =  20 ; cumul. samples =  4404
samples =  62 ; cumul. samples =  4466
samples =  8 ; cumul. samples =  4474
samples =  12 ; cumul. samples =  4486
samples =  25 ; cumul. samples =  4511
samples =  75 ; cumul. samples =  4586
samples =  38 ; cumul. samples =  4624
samples =  14 ; cumul. samples =  4638
samples =  4 ; cumul. samples =  4642
samples =  8 ; cumul. samples =  4650
samples =  8 ; cumul. samples =  4658
samples =  7 ; cumul. samples =  4665
samples =  7 ; cumul. samples =  4672
samples =  7 ; cumul. samples =  4679
samples =  8 ; cumul. samples =  4687
samples =  11 ; cumul. samples =  4698
samples =  6 ; cumul. samples =  4704
samples =  6 ; cumul. samples =  4710
samples =  8 ; cumul. samples =  4718
samples =  8 ; cumul. samples =  4726
samples =  9 ; cumul. samples =  4735
samples =  11 ; cumul. samples =  4746
samples =  8 ; cumul. samples =  4754
samples =  7 ; cumul. samples =  4761
samples =  6 ; cumul. samples =  4767
samples =  4 ; cumul. samples =  4771
samples =  4 ; cumul. samples =  4775
samples =  5 ; cumul. samples =  4780
samples =  7 ; cumul. samples =  4787
samples =  1 ; cumul. samples =  4788
samples =  37 ; cumul. samples =  4825
samples =  55 ; cumul. samples =  4880
samples =  39 ; cumul. samples =  4919
samples =  35 ; cumul. samples =  4954
samples =  37 ; cumul. samples =  4991
samples =  64 ; cumul. samples =  5055
samples =  68 ; cumul. samples =  5123
samples =  71 ; cumul. samples =  5194
samples =  64 ; cumul. samples =  5258
samples =  67 ; cumul. samples =  5325
samples =  6 ; cumul. samples =  5331
samples =  6 ; cumul. samples =  5337
samples =  5 ; cumul. samples =  5342
samples =  13 ; cumul. samples =  5355
samples =  2 ; cumul. samples =  5357
samples =  1 ; cumul. samples =  5358
samples =  1 ; cumul. samples =  5359
samples =  2 ; cumul. samples =  5361
samples =  1 ; cumul. samples =  5362
samples =  43 ; cumul. samples =  5405
samples =  17 ; cumul. samples =  5422
samples =  2 ; cumul. samples =  5424
samples =  2 ; cumul. samples =  5426
samples =  14 ; cumul. samples =  5440
samples =  7 ; cumul. samples =  5447
samples =  2 ; cumul. samples =  5449
samples =  20 ; cumul. samples =  5469
samples =  5 ; cumul. samples =  5474
samples =  9 ; cumul. samples =  5483
samples =  1 ; cumul. samples =  5484
samples =  7 ; cumul. samples =  5491
samples =  7 ; cumul. samples =  5498
samples =  6 ; cumul. samples =  5504
samples =  4 ; cumul. samples =  5508
samples =  23 ; cumul. samples =  5531
samples =  35 ; cumul. samples =  5566
samples =  12 ; cumul. samples =  5578
samples =  13 ; cumul. samples =  5591
samples =  55 ; cumul. samples =  5646
samples =  29 ; cumul. samples =  5675
samples =  1 ; cumul. samples =  5676
samples =  20 ; cumul. samples =  5696
samples =  1 ; cumul. samples =  5697
samples =  2 ; cumul. samples =  5699
samples =  3 ; cumul. samples =  5702
samples =  5 ; cumul. samples =  5707
samples =  6 ; cumul. samples =  5713
samples =  7 ; cumul. samples =  5720
samples =  8 ; cumul. samples =  5728
samples =  9 ; cumul. samples =  5737
samples =  9 ; cumul. samples =  5746
samples =  12 ; cumul. samples =  5758
samples =  14 ; cumul. samples =  5772
samples =  15 ; cumul. samples =  5787
samples =  10 ; cumul. samples =  5797
samples =  30 ; cumul. samples =  5827
samples =  25 ; cumul. samples =  5852
samples =  40 ; cumul. samples =  5892
samples =  4 ; cumul. samples =  5896
samples =  33 ; cumul. samples =  5929
samples =  22 ; cumul. samples =  5951
samples =  11 ; cumul. samples =  5962
samples =  24 ; cumul. samples =  5986
samples =  8 ; cumul. samples =  5994
samples =  1 ; cumul. samples =  5995
samples =  15 ; cumul. samples =  6010
samples =  1 ; cumul. samples =  6011
samples =  1 ; cumul. samples =  6012
samples =  1 ; cumul. samples =  6013
samples =  3 ; cumul. samples =  6016
samples =  13 ; cumul. samples =  6029
samples =  2 ; cumul. samples =  6031
samples =  2 ; cumul. samples =  6033
samples =  7 ; cumul. samples =  6040
samples =  4 ; cumul. samples =  6044
samples =  12 ; cumul. samples =  6056
samples =  36 ; cumul. samples =  6092
samples =  30 ; cumul. samples =  6122
samples =  25 ; cumul. samples =  6147
samples =  8 ; cumul. samples =  6155
samples =  8 ; cumul. samples =  6163
samples =  2 ; cumul. samples =  6165
samples =  2 ; cumul. samples =  6167
samples =  7 ; cumul. samples =  6174
samples =  4 ; cumul. samples =  6178
samples =  3 ; cumul. samples =  6181
samples =  22 ; cumul. samples =  6203
samples =  23 ; cumul. samples =  6226
samples =  6 ; cumul. samples =  6232
samples =  6 ; cumul. samples =  6238
samples =  3 ; cumul. samples =  6241
samples =  3 ; cumul. samples =  6244
samples =  1 ; cumul. samples =  6245
samples =  4 ; cumul. samples =  6249
samples =  20 ; cumul. samples =  6269
samples =  4 ; cumul. samples =  6273
samples =  14 ; cumul. samples =  6287
samples =  4 ; cumul. samples =  6291
samples =  12 ; cumul. samples =  6303
samples =  13 ; cumul. samples =  6316
samples =  8 ; cumul. samples =  6324
samples =  15 ; cumul. samples =  6339
samples =  16 ; cumul. samples =  6355
samples =  15 ; cumul. samples =  6370
samples =  12 ; cumul. samples =  6382
samples =  17 ; cumul. samples =  6399
samples =  18 ; cumul. samples =  6417
samples =  23 ; cumul. samples =  6440
samples =  11 ; cumul. samples =  6451
samples =  22 ; cumul. samples =  6473
samples =  26 ; cumul. samples =  6499
samples =  52 ; cumul. samples =  6551
samples =  50 ; cumul. samples =  6601
samples =  12 ; cumul. samples =  6613
samples =  11 ; cumul. samples =  6624
samples =  32 ; cumul. samples =  6656
samples =  15 ; cumul. samples =  6671
samples =  15 ; cumul. samples =  6686
samples =  9 ; cumul. samples =  6695
samples =  26 ; cumul. samples =  6721
samples =  21 ; cumul. samples =  6742
samples =  16 ; cumul. samples =  6758
